TestMSE: 41.21722412109375, TrainMSE: 16.58311653137207
TestMSE: 28.609207153320312, TrainMSE: 12.48458480834961
TestMSE: 22.30805778503418, TrainMSE: 10.153125762939453
TestMSE: 19.122957229614258, TrainMSE: 8.776351928710938
TestMSE: 17.47491455078125, TrainMSE: 7.928023338317871
TestMSE: 16.58323097229004, TrainMSE: 7.380313873291016
TestMSE: 16.06277084350586, TrainMSE: 7.008823394775391
TestMSE: 15.724074363708496, TrainMSE: 6.743923187255859
TestMSE: 15.474187850952148, TrainMSE: 6.545446872711182
TestMSE: 15.267790794372559, TrainMSE: 6.38960075378418
TestMSE: 15.082883834838867, TrainMSE: 6.261776924133301
TestMSE: 1571.9818115234375, TrainMSE: 342.7513732910156
TestMSE: 787.5062255859375, TrainMSE: 171.9403076171875
TestMSE: 395.373291015625, TrainMSE: 86.53475952148438
TestMSE: 200.10757446289062, TrainMSE: 43.985130310058594
TestMSE: 102.75556182861328, TrainMSE: 22.755107879638672
TestMSE: 54.135990142822266, TrainMSE: 12.139878273010254
TestMSE: 29.795127868652344, TrainMSE: 6.815986633300781
TestMSE: 17.567058563232422, TrainMSE: 4.134312629699707
TestMSE: 11.393813133239746, TrainMSE: 2.7751870155334473
TestMSE: 8.255671501159668, TrainMSE: 2.0803732872009277
TestMSE: 6.644526481628418, TrainMSE: 1.7208011150360107
TestMSE: 5.8058366775512695, TrainMSE: 1.5315794944763184
TestMSE: 5.360501766204834, TrainMSE: 1.4296696186065674
TestMSE: 5.117546081542969, TrainMSE: 1.373095154762268
TestMSE: 4.979982376098633, TrainMSE: 1.3404299020767212
TestMSE: 4.898200988769531, TrainMSE: 1.3206350803375244
TestMSE: 4.846588134765625, TrainMSE: 1.3079522848129272
TestMSE: 4.8116865158081055, TrainMSE: 1.2993135452270508
TestMSE: 4.786340713500977, TrainMSE: 1.29305899143219
TestMSE: 4.76662015914917, TrainMSE: 1.2882558107376099
TestMSE: 4.750348091125488, TrainMSE: 1.284372091293335
TestMSE: 4.7362589836120605, TrainMSE: 1.2810901403427124
TestMSE: 4.723608493804932, TrainMSE: 1.2782154083251953
TestMSE: 4.711943626403809, TrainMSE: 1.2756271362304688
TestMSE: 4.700971603393555, TrainMSE: 1.2732422351837158
TestMSE: 4.690513610839844, TrainMSE: 1.2710108757019043
TestMSE: 4.680441856384277, TrainMSE: 1.2688950300216675
TestMSE: 4.6706862449646, TrainMSE: 1.2668733596801758
TestMSE: 4.66118049621582, TrainMSE: 1.264925241470337
TestMSE: 4.651889801025391, TrainMSE: 1.263040542602539
TestMSE: 4.642787933349609, TrainMSE: 1.2612099647521973
TestMSE: 4.633852005004883, TrainMSE: 1.259426474571228
TestMSE: 4.625071048736572, TrainMSE: 1.2576864957809448
TestMSE: 4.61643123626709, TrainMSE: 1.2559845447540283
TestMSE: 4.607929229736328, TrainMSE: 1.2543214559555054
